group_val,cat_col,diameter,group0,group1,n_group0,n_group1,test,statistic,p_value
SVD type 2,DM,BA_diameter,1.06 [0.81–1.30],1.36 [1.09–1.64],12,5,Mann-Whitney U,16.0,0.15998707175177765
SVD type 2,DM,LICA_diameter,1.72 [1.46–1.98],1.94 [1.63–2.26],12,5,Mann-Whitney U,18.0,0.2343244990303814
SVD type 2,DM,RICA_diameter,1.65 [1.41–1.89],1.83 [1.32–2.33],12,5,Mann-Whitney U,22.0,0.4421460892049127
SVD type 2,Dyslipidemia,BA_diameter,1.08 [0.78–1.38],1.21 [0.90–1.51],8,9,Mann-Whitney U,29.0,0.5414232825997531
SVD type 2,Dyslipidemia,LICA_diameter,1.76 [1.45–2.07],1.81 [1.50–2.12],8,9,Mann-Whitney U,32.0,0.7429864253393665
SVD type 2,Dyslipidemia,RICA_diameter,1.72 [1.38–2.07],1.68 [1.39–1.98],8,9,Mann-Whitney U,36.0,1.0
SVD type 3,ICASS,BA_diameter,0.99 [0.81–1.26],1.05 [0.69–1.41],28,5,Mann-Whitney U,69.0,0.98060134155796
SVD type 3,ICASS,LICA_diameter,1.74 [1.58–1.90],1.71 [1.12–2.30],28,5,Mann-Whitney U,77.0,0.7517022280648532
SVD type 3,ICASS,RICA_diameter,1.74 [1.56–1.91],1.69 [1.19–2.19],28,5,Mann-Whitney U,74.0,0.8648498331479422
SVD type 3,ICAS,BA_diameter,0.99 [0.81–1.26],nan [nan–nan],32,1,Mann-Whitney U,20.0,0.7878787878787876
SVD type 3,ICAS,LICA_diameter,1.73 [1.58–1.88],nan [nan–nan],32,1,Mann-Whitney U,12.0,0.7878787878787876
SVD type 3,ICAS,RICA_diameter,1.72 [1.56–1.88],nan [nan–nan],32,1,Mann-Whitney U,7.0,0.48484848484848486
SVD type 3,sex,BA_diameter,1.19 [1.03–1.34],0.81 [0.73–0.98],21,12,Mann-Whitney U,197.0,0.008329919978381046
SVD type 3,sex,LICA_diameter,1.89 [1.71–2.06],1.48 [1.25–1.70],21,12,Mann-Whitney U,198.0,0.0074546614689687445
